Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C15, C2, C3, C4, C5, C6, C7, C8, C9",0805,11,10uF 35V,
"C12, C17, C19, C20, C21, C23",0402,6,1uF 16V,
"C13, C14, C16, C24, C25",0402,5,100nF 16V,
"C18, C22",0402,2,100nF 50V,
"D1, D2, D3",D_SOD-523,3,1N4148WT,
D4,0402,1,LED GREEN,
J13,JST_SH_BM06B-SRSS-TB_1x06-1MP_P1.00mm_Vertical,1,DEBUG,
"Q1, Q2, Q3, Q4, Q5, Q6",LFPAK56,6,PSMN1R4-40YLDX,
"R1, R10, R11, R12, R13, R24, R25, R3, R8, R9",0402,10,10k,
"R14, R15, R16, R22",0402,4,1k,
"R17, R18, R19, R5, R6, R7",0402,6,20,
R20,0402,1,100k,
R21,WSK1216,1,1m 3W,
R23,0402,1,2.2k,
SW1,TS2306A,1,ISPMODE,
U1,SOT-23-5,1,TPS7B92033DBVR,
U2,VQFN-24-1EP_4x4mm_P0.5mm_EP2.45x2.45mm,1,DRV8300N or FD6288 or equivalent,
U3,HVQFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm,1,MCXA1xxVFM,
U4,SOT-23-5,1,TPS7B92050DBVR,
U5,BB-2020BGR-TRB,1,BB-2020BGR-TRB,
U6,SOT-23-5,1,INA180B1,
